Name, Email
Food Society, foodsociety@qmsu.org
Football (Bl Men), football@bartslondon.com
Football (Bl Women), womensfootball@bartslondon.com
Football (Men), qmufc@outlook.com
Football (Women), qmwfc13@gmail.com
Formula Student Society, formulastudent@qmsu.org
French Society, fsociety@qmsu.org
Futsal (Men), qmulfutsal@gmail.com
Futsal (Women), su-sportsadministrator@qmul.ac.uk
Game Development Society, GameDevelopmentSociety@qmsu.org
Geography Society, qmgsociety@gmail.com
Gepsoc, bl.gepsoc@gmail.com
German Society, germansociety@qmsu.org
Go-Karting, ex20263@qmul.ac.uk
Golf, qm.golfclub@outlook.com
Golf (Bl), bartsandthelondongolf@gmail.com
Gozo Arts And Fashion Society, gozoartsfashion@bartslondon.com
Gp Society, blgpsociety@gmail.com
Greek And Cypriot Society, greekandcypriot@qmsu.org
Griffin Community Trust, griffinhousepoplar@gmail.com
Henna Society, hennasociety@qmsu.org
Historical Fencing (Hema), ex21649@qmul.ac.uk
History Society, historysociety@qmsu.org
Hockey, qmhcpresident@gmail.com
Hockey (Bl Men), e.m.summers@smd21.qmul.ac.uk
Hockey (Bl Mixed), mixedhockey@bartslondon.com
Hockey (Bl Women), womenshockey@bartslondon.com
Hong Kong Public Affairs And Social Services Society (Hkpass), qmhkpass@gmail.com
Human Rights Society, humanrightssoc@qmsu.org
Hyperlink, hyperlink@qmsu.org
Ihsan Consulting, ihsanconsulting@qmsu.org
Indian Society, qmis.qmul@gmail.com
Indonesian Society, indonesiansociety@qmsu.org
Iranian Society, iraniansociety@qmsu.org
Iraqi Society, Iqsoc.qmul@hotmail.com
Islamic Society (Isoc), communications@qmisoc.co.uk
Italian Society, italiansociety@qmsu.org
Japan Society, Japansociety@qmsu.org
Jewish And Israel Society, qmuljsoc@gmail.com
Jiu Jitsu, qmjiujitsu@gmail.com
Judo, qmuljudo@outlook.com
Karaoke Society, karaoke@qmsu.org
Karate, qmblkarate@outlook.com
Kendo, qmkendo@outlook.com
Kharis On Campus, kharisoncampus@qmsu.org
Knit And Knatter, knitsociety@qmsu.org
Kpop Society, kpopsociety@qmsu.org
Krishna Consciousness Society, kcsocqm@gmail.com
Kurdish Society, kurdishsociety@qmsu.org
Labour Society, laboursociety@qmsu.org
Lacrosse, qmullax.president@gmail.com
Lacrosse (Bl), lacrosse@bartslondon.com
Law And Business Society, lawbusinesssociety@qmsu.org
Law For All Society, qmulnonlawsociety@gmail.com
Law Society, qmlawsoc@qmsu.org
Lawyers Without Borders, lawyerswithoutborders@qmsu.org
Lebanese Society, qm.lebanesesociety@gmail.com
Legal Innovation, general.qmlis@gmail.com
Legal Philosophy Book Club, legalphilosophybookclub@qmsu.org
Lgbt+ Society, lgbtsociety@qmsu.org
Lgbt+ Society (Whitechapel), lgbtsoc@bartslondon.com
Liberal Democrats Society, qmyoungliberals@outlook.com
London Transport Society, londontransportsociety@qmsu.org
Malaysian Society, qmmsoc@gmail.com
Material Science And Engineering Society, semssociety@qmsu.org.uk
Mathematics Society, mathssociety@qmsu.org
Mauritian Society, mauritiansociety@qmsu.org
Medgen Society, medgenqm@gmail.com
Medical Education Support Society (Mess), medicaleducation@bartslondon.com
Medical Humanities, medicalhumanities@bartslondon.com
Medtech, medtechqmbl@gmail.com
Mexican Society, mexicansociety@qmsu.org
Mile End Music Society, musicsociety@qmsu.org
Muay Thai, y.tucker@se21.qmul.ac.uk
Music Society (Whitechapel), music@bartslondon.com
Nepalese Society, nepalesesociety@qmsu.org
Netball, qmulnetballclub@gmail.com
Netball (Bl), netball@bartslondon.com
Neurodivergent Society, Neurodivergentsoc@qmsu.org
Neuroscience Society, neurosciencesoc@bartslondon.com
Nhsf Hindu Society, nhsfhindusociety@qmsu.org
North African Society, northafricansociety@qmsu.org
Obstetrics And Gynaecology Society, obgyn@bartslondon.com
Oncology Society, oncology@bartslondon.com
Open Law Society, openlawsociety@qmsu.org
Ophthalmology Society, ophthalmology@bartslondon.com
Orthopaedic, blorthopaedicsociety@gmail.com
Paediatric Society, paediatrics@bartslondon.com
Pakistan Society, queenmarypaksoc@gmail.com
Palliative Medicine Society, palliativecaresoc@bartslondon.com
Peach Magazine, peachmagazine@qmsu.org
Peer Assisted Learning Society (Pals), palssociety@qmsu.org
Pokemon Society, QMULPokesoc@gmail.com
Pole Fitness Society, polesociety@qmsu.org
Polish Society, polishsociety@qmsu.org
Politea, politeasoc@qmsu.org
Political Engagement And Activism Society, PoliticalEngagementandActivismSociety@qmsu.org
Pool, qmulpool@gmail.com
Pottery Society, potterysociety@qmsu.org
Private Equity Society, privateequitysoc@qmsu.org
Project Play, projectplay@bartslondon.com
Project:Talk, qmul@projecttalk.org.uk
Psistar (Physics And Astronomy Society), psistarsociety@qmsu.org
Psychiatry Society (Psychsoc), bartslondonpsychsoc@gmail.com
Psychology Society, psychologysociety@qmsu.org
Public Health And Preventive Medicine Society, phpm@bartslondon.com
Qm Aurora Initiative, aurorainitiative@qmsu.org
Qm Duck Society, TheDuckSoc@gmail.com
Qm Islamic Finance Society, islamicfinancesoc@qmsu.org
Qm Lego Society, qmlegosociety@qmsu.org
Qm Malayali Society, malayalisoc@qmsu.org
Qm Yoga Society, yogasociety@qmsu.org
Qm/Bl Egyptian Society, egyptiansoc@bartslondon.com
Qmbl Ahlulbayt Islamic Society, qmabsoc@gmail.com
Qmbl Comedy Society, comedysociety@qmsu.org
Qmbl Formula 1 Society, formula1society@qmsu.org
Qmbl Friends Of Palestine, friendsofpalestinesociety@qmsu.org
Qmseds, ukseds@qmsu.org
Qmul Ukrainian Society, qmulua@gmail.com
Quantum Computing Society, quantumcomputingsociety@qmsu.org
Queen Mary Canadian Society, canadian@qmsu.org
Queen Mary Disney Society, disneysociety@qmsu.org
Queen Mary Electronics Society, qmelectronicssociety@qmsu.org
Queen Mary Machine Learning, qmml@qmsu.org
Queen Mary Model United Nations, qmunsociety@qmsu.org
Queen Mary Petrolhead Society, Petrolhead@qmul.org
Queen Mary Poetry Society, poetrysociety@qmsu.org
Quest, stationmanager.questradio@gmail.com
Radiology Society, radiology@bartslondon.com
Rugby (Bl Men), rugby@bartslondon.com
Rugby (Men), president.qmrfc@gmail.com
Rugby (Women), tp22375@qmul.ac.uk
Running And Athletics, queenmaryrac@gmail.com
Running (Bl), running@bartslondon.com
Sailing, bartssailing@gmail.com
Salsa Society, qmsalsasoc@gmail.com
Saudi Society, saudi@qmsu.org
Scandinavian Society, qmul.scandinavia@gmail.com
Sexual And Reproductive Health, sexualreproductivehealth@bartslondon.com
Sikh Society, sikhsocqmul@gmail.com
Singapore Society, singaporesociety@qmsu.org
Skate Society, qmulskate@outlook.com
Snow Sports, qmsnowsports@gmail.com
Sober Socials, sobersociety@qmsu.org
Socialist Workers' Student Society, socialistworkerssociety@qmsu.org
Somali Society, qmsomsoc@gmail.com
Squash (Bl), bartssquash@gmail.com
Sri Lankan Society, srilankansociety@qmsu.org
Street Doctors, east_london@streetdoctors.org
Student Assisted Medical And Dental Applications (Samda), samda@bartslondon.com
Students In Paris Society, g.loredan@hss24.qmul.ac.uk
Students With Disabilities, studentswithdisabilities@qmsu.org
Surgical Society, info@blsurgical.co.uk
Swimming, ah22269@qmul.ac.uk
Synthetic Biology And Biochemical Engineering Society, SyntheticBiologyandBiochemicalEngineering@qmsu.org
Syrian Society, syriansociety@qmsu.org
Table Tennis, qmblttinfo@gmail.com
Table-Top Miniatures Society, tabletopminiaturessociety@qmsu.org
Taiwanese Society, QMTaiwaneseSoc@gmail.com
Tamil Society, tamilsociety@qmsu.org
Taylor Swift Society, taylorswiftsociety@qmsu.org
Teddy Bear Hospital, Info@teddybearhospital.org
Tennis, qmtennisteam@gmail.com
Tennis (Bl), tennis@bartslondon.com
The Dental Mirror, Ha18313@qmul.ac.uk
The Fragrance Society, thefragrancesociety@qmsu.org
The Print, theprinteditors@gmail.com
Theatre Company, company@qmtc.co.uk
Turkish Society, qmulturkishsociety@outlook.com
Underground Music Society, undergroundmusicsociety@qmsu.org
Vegan And Vegetarian Society, veg@bartslondon.com
Video And Card Gaming, gamingsociety@qmul.org
Volleyball, bt22752@qmul.ac.uk
Volleyball (Bl), blvolleyball@bartslondon.com
Water Polo, waterpolo@bartslondon.com
Wilderness And Extreme Medicine Society, WEMS@bartslondon.com
William Harvey Research Institute, WHRIsociety@outlook.com
Wine Society, winesociety@qmsu.org
Women In Consulting Society, womeninconsulting@qmsu.org
Women In Finance And Economics, womeninfinance@qmsu.org
Women In Healthcare, womeninhealthcare@bartslondon.com
Women In Law, womeninlaw@qmsu.org
Women Of Stem, womenofstem@qmsu.org
