Name, Email
Freedom From Torture, GUFreedomFromTorture@outlook.com
Friends Of David Nott Foundation, fdnfglasgow@gmail.com
Friends Of Medical Aid For Palestinians, glasgowfomap@gmail.com
Friends Of Msf, fomsfglasgow@gmail.com
Games Development Society, gudevsoc@gmail.com
Gaming Society, gamingsociety@src.gla.ac.uk
Gamma '28 Year Club, gamma28yearclub@outlook.com
General Practice Society, gugpsoc@gmail.com
Geography Society, gugeogsociety@outlook.com
German Society, gugermansociety@gmail.com
G-Gnomes, g-gnomes@glasgow.ac.uk
Give Blood, glasgowunigiveblood@gmail.com
Glasense, uofglasgow.sensus@gmail.com
Glasgow University Service To The Homeless - Gush, volunteering@src.gla.ac.uk
Guinness Society, glasgowuniguinnesssociety@gmail.com
Handprints E-Nable Scotland, handprints.enable@src.gla.ac.uk
Harry Potter Society, guharrypottersociety@gmail.com
Healthcare Students Against Racism, melaninmedics.glasgow@gmail.com
Heartstart Society, uofgheartstart@gmail.com
Hindu Society, glasgowhindusociety@gmail.com
Hispanic Society, gu.hispanic.society@gmail.com
Historical Swordsmanship, gu.historical.swordsmanship@gmail.com
History Society, guhistorysoc@gmail.com
Hong Kong Society, guhksoc@gmail.com
Horror Society, glahorrorsoc@gmail.com
Humanising Healthcare Forum, humanisinghealthcare@gmail.com
Hummus Society, hsglasgowuni@outlook.com
Ice Skating Club, gu.iceskating@gmail.com
Improv Teatime! Improvised Theatre Society, improvteatimesecretary@gmail.com
Indian National Students Association, insauofg@gmail.com
Indian Society, indsoc.uog@gmail.com
Indonesian Student Association (Perhimpunan Pelajar Indonesia - Ppi), ppi.ppiglasgow@gmail.com
Infection And Immunity Society, infectionandimmunitysoc@src.gla.ac.uk
Insight Into Science And Technology (Thegist), editor@the-gist.org
International Film Society, guinternationalfilm@gmail.com
International Genetically Engineered Machine Society (Guigems), contact@synwave.co.uk
International Law Society, gu.intlaw.soc@outlook.com
International Relations Society, irsocietyglasgow@gmail.com
Intersectionality In Law, guintersectlaw@gmail.com
Italian Society, guitaliansociety@gmail.com
Japan Society, jsocglasgow@gmail.com
Jazz Society, gujazzsociety@gmail.com
Jewish Society, glasgowjsoc@gmail.com
Just Love, justloveglasgow@gmail.com
Kelvin Ensemble, secretary@kelvin-ensemble.co.uk
Kerala Society, keralasoc@src.gla.ac.uk
K-Pop Society, uofg.kpopsoc@gmail.com
Kuwait Society, kuwaitinscotland@gmail.com
Labour Club, glasgowuniversitylabourclub@gmail.com
Latin American Society, latino@src.gla.ac.uk
Law Society, secretary.guls@gmail.com
Lawyers Without Borders, lwobgu@gmail.com
Legal Tech Society, gulegaltech@gmail.com
Lgbtq+ Students Association, president@gulgbtqplus.com
Linguistics Society, gulingsoc@gmail.com
Literature Association, president.gula@gmail.com
Maclaurin Society (Macsoc), macsoc@hotmail.com
Macmillan Society, macmillanatglasgow@gmail.com
Make A Smile Glasgow (Mas), makeasmileglasgow@gmail.com
Malaysian Society, gumsoc@gmail.com
Malt Whisky Society, glasgowuniversitymaltwhisky@gmail.com
Manga And Anime Society, guanimemangasoc@gmail.com
Marketing Society, gumarketingsociety@gmail.com
Marrow, glasgow@ukmarrow.org
Marxists, glasgowmarxists@gmail.com
Mary'S Meals, GUMarysmeals@gmail.com
Mature Students Association, maturestudents@src.gla.ac.uk
Mbchb Class Of '25 (Epsilon) Year Club, epsilonyearclub@src.gla.ac.uk
Medic Insight, medicinsightglasgow@gmail.com
Medical Education Society (Gumes), mededsoc@src.gla.ac.uk
Medical Research Society, MedicalResearch@src.gla.ac.uk
Medico-Chirurgical Society (Medchir), medchir@hotmail.com
Medics Dance Club, glasgowmedicsdance@gmail.com
Medics Music, medicsmusicsociety@src.gla.ac.uk
Medtech Society, glasgowuniversitymedtech@gmail.com
Mental Health In Tech Society, gumhitsoc@gmail.com
Middle Eastern And North African Society, menasociety@src.gla.ac.uk
Minecraft Society, minecraftsociety@src.gla.ac.uk
Mixed Martial Arts, gumixedmartialarts@gmail.com
Model United Nations (Glasmun), modelunitednations@src.gla.ac.uk
Monopoly Society, uofgmonopoly@outlook.com
Mountain Medicine Society, mountainmedicine@src.gla.ac.uk
Music Club, glasgowmusicclub@gmail.com
Muslim Engineers Society, muslimengineers@src.gla.ac.uk
Muslim Medics, gumuslimmedics@gmail.com
Muslim Students' Association (Gumsa), gumsa@hotmail.co.uk
Mvls Society, mvlssociety@src.gla.ac.uk
Mycology Society, mycologysoc@src.gla.ac.uk
Ñ De España, spain.glasgowuni@gmail.com
National Undergraduate Neuroanatomy Competition, natneurocomp@gmail.com
Neuro Society, secretariat@glasgowneuro.co.uk
Neurodiversity Society, neurodiversitysociety@src.gla.ac.uk
Neuroscience Society, guneurosoc20@gmail.com
Nigerian Student'S Society, nigerianstudentssociety@src.gla.ac.uk
Nintendo Society, uofgnintendosociety@gmail.com
Nordic Society, gunordicsociety@gmail.com
Nspcc Student Volunteers, nspccatuofg@gmail.com
Nursing Society, glasgowuni.nursoc@gmail.com
Obstetrics And Gynaecology Society, guogspresident@gmail.com
Omani Medical Student Association, omsa_uk@outlook.com
Oncology Society, uofgoncologysociety@gmail.com
One Club, contact@oneclub.org.uk
Opera Society, guoperasoc@gmail.com
Ophthalmology Society, ophth.gla@gmail.com
Oral Health Improvement Student Society, gohiss.gla@gmail.com
Orbit, uog.orbit@gmail.com
Orienteering And Fell Running Club, Goandfellrunning@gmail.com
Out In Stem (Ostem), ostem@src.gla.ac.uk
Paediatrics Society, gupaediatricssociety@gmail.com
Pakistani Student Society, thegupakistansociety@gmail.com
Palestinian Society, palestiniansociety@src.gla.ac.uk
Palliative Care Society, palliativecaresociety@src.gla.ac.uk
Pathology Society, pathologysoc@src.gla.ac.uk
Peep Show Society, gupeepshowsociety@gmail.com
Pgr Society, researchersoc@src.gla.ac.uk
Pharmacology Society, uofgpharmasoc@gmail.com
Philosophy Society, philosophysociety@src.gla.ac.uk
Photography Society, guphotosoc@gmail.com
Physics Society, guphysoc@googlemail.com
Physiology And Human Biology Society, physiologysociety@src.gla.ac.uk
Plastic Reconstructive And Aesthetic Surgery Society, plastics@src.gla.ac.uk
Poetry Society, glasgowpoets@gmail.com
Poker Society, uofgpoker@gmail.com
Polar Bear Club (Glasgow University Wild Swimming Society), polarbearclubgu@gmail.com
Pole Dancing Club, GUPDC@hotmail.co.uk
Portuguese Speaking Society, portuguesesociety@src.gla.ac.uk
Pride In Healthcare, prideinhealthcaresociety@gmail.com
Psychiatry Society, glasgowpsych@gmail.com
Psychology Society, psychology.society@src.gla.ac.uk
Public Health Society, publichealthsociety@src.gla.ac.uk
Quiz Society, guquizsociety@outlook.com
R.C. Hamilton Gu Rangers Supporters Club, gursc@outlook.com
Radiology Society, glasgowradio2018@gmail.com
Raising And Giving Src, rag@src.gla.ac.uk
Rareaware Glasgow, rareaware@src.gla.ac.uk
Reeling Society, reelingsoc@src.gla.ac.uk
Remote And Rural Medicine, glasgowrrms@gmail.com
Rheumatology And Orthopaedic Society (Guros), uofguros@gmail.com
Rock And Metal Society, GU.RAMSoc@gmail.com
Rocketry, team@gurocketry.co.uk
Russian Speaking Society, gurssofficial@outlook.com
Salsa And Latin Dance Society, glasgowunisalsaclub@gmail.com
Saudi Society, gusaudisociety@gmail.com
Scottish Country Dance Club, Guscdc1955@gmail.com
Scottish Literature Society, scotlitsociety@src.gla.ac.uk
Scottish Nationalist Association, secretary@gusna.org
Scottish Refugee Council Society, scottishrefugeecouncil@src.gla.ac.uk
Scottish Socialist Party (Ssp) Students, sspstudentsglasgow@gmail.com
Screenwriting Society, guss.glasgow@gmail.com
Self-Improvement Society, selfimprovement@src.gla.ac.uk
Shakespeare Society, gushakespearesociety@gmail.com
Shrek Society, gushreksoc@gmail.com
Sign Language Society, signlanguagesoc@src.gla.ac.uk
Singapore Society, glasgowguss@gmail.com
Skate Society, glasgowskatesociety@src.gla.ac.uk
Slovak And Czech Society, gscs.contact@gmail.com
Social And Public Policy Society, socialandpublicpolicy@src.gla.ac.uk
Socialist Worker Student Society, swssgu1917@gmail.com
Society For Women In Ancient Cultures, womeninancientcultures@src.gla.ac.uk
Society For Women In Tech + Allies (Gu Switch + A), guswitch@gmail.com
Society Of Neonatology, neonatalsocietyuog@gmail.com
Sociology Society, sociologysociety@src.gla.ac.uk
Solidaritee, comms@solidaritee.org.uk
South Indian Dance Academy, UofGSIDA@gmail.com
Spike Ball Society, Uogspikeball@gmail.com
Sports And Exercise Medicine Society, gusemsociety@gmail.com
Sports Science Society, gussscommittee@gmail.com
St Andrews First Aid, stafaglasgowuniversity@gmail.com
Stand-Up And Sketch (Glass), glasscomedysociety@gmail.com
Star Wars Society, gustarwarssociety@gmail.com
Stitch Society, gustitchsociety@gmail.com
Stoic Book Club, stoicbookclub@outlook.com
Straight Talk, glasgow.straight.talk@gmail.com
Strategy And Security Society, stratnsecsoc@gmail.com
String Ensemble, gustringensemble@gmail.com
Student Action For Dementia (Safd), studentactionfordementia@src.gla.ac.uk
Student Action For Refugees, starnetworkglasgow@gmail.com
Student Christian Movement (Scm), scmuofg@gmail.com
Student Dance Company, gsdccommittee@gmail.com
Student Of Colour Society, gusocnet@gmail.com
Student Scout And Guide Organisation (Ssago), ssagoglasgow@gmail.com
Student Theatre At Glasgow (Stag), president@studenttheatreatglasgow.com
Students For Choice, studentsforchoice@src.gla.ac.uk
Students For Exploration And Development Of Space (Guseds), uog.seds@gmail.com
Students For Global Health, glasgow@studentsforglobalhealth.org
Students For Life, glasgowstudentsforlife@gmail.com
Successful Women At Glasgow, s.w.a.glasgow@gmail.com
Surgical Society, gusurgicalsociety@googlemail.com
Sustainable Development Goals, gu4sdg@src.gla.ac.uk
Swing Dance Club, swingdancingglasgow@gmail.com
Taiwan Society, taiwansoc@src.gla.ac.uk
Tamil Society, tamilsociety@src.gla.ac.uk
Tarot Society, gutarotsociety@gmail.com
Taylor Swift Society, uofgswiftsoc@gmail.com
Tea Society, uofgteasoc@gmail.com
Techno Society, gu.technosociety@gmail.com
Technology Society, technologysociety@src.gla.ac.uk
Teddy Bear Hospital, tbhglasgow@gmail.com
Tenement Society, gutenements@gmail.com
Thai Society, thaisoc@src.gla.ac.uk
The Ashton Collective, ashtoncollective@gmail.com
The Dead Poets Society, deadpoetssociety@src.gla.ac.uk
Trad Society, gufolkmusicgroup@gmail.com
Trading And Investment Club (Gutic), President@gutic.co.uk
Trs Community, uofgtrscommunity@gmail.com
Turkish Society, turkishsociety@src.gla.ac.uk
Twin Peaks Society, twinpeaksglasgow@outlook.com
Ugracing, eng-ugracing@glasgow.ac.uk
Ukrainian Society, ukrainiansociety@src.gla.ac.uk
Unicef On Campus, guunicef@gmail.com
Urbanism Society, uofgurbansociety@outlook.com
Urology Society, uofgurology@gmail.com
Vascular Surgery Society, vascularsurgery@src.gla.ac.uk
Vegan Society, guvegansociety@gmail.com
Veterinary Medical Association, guvma14@gmail.com
Veterinary Zoological Society, guvzs.glasgow@gmail.com
Walking Society, guwalkingsociety@gmail.com
Wilderness And Extreme Medicine Society, glasgowwildernessmedicine@gmail.com
Wise Mentoring, wisementoringsociety@yahoo.com
Women In Business And Finance, gu.womeninbusinessfinance@gmail.com
Women In Law Glasgow University, womeninlawgu@gmail.com
Women In Politics, womeninpolitics@src.gla.ac.uk
Women In Stem (Wistem), wistemglasgow@gmail.com
Worldbuilding And Storytelling Society, worldbuilding@src.gla.ac.uk
Zoological Society, guzoosoc@gmail.com
